rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,illumina_plate_number,gprep_plate_number,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,area,territory,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Shannon,Simpson,julian
KCG77,KCG77,77,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5088512,gagb,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,managed,guortestjarn,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11755,65.68187,KCG77,21,1.7200219,0.63436212,236
KCG78,KCG78,78,2022-08-31,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142839,camg,31-Aug-22,2022-08-31,fall2022,fall,cloacal swab tip,managed,nylidsberget,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.08872,65.69736,KCG78,223,2.6457186,0.68087462,243
KCG79,KCG79,79,2022-08-07,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142858,mamc,07-Aug-22,2022-08-07,fall2022,fall,cloacal swab tip,managed,tjarnatjarn,NA,non-breeder,adult,adult,NA,Perisoreus infaustus,19.2276,65.65862,KCG79,12,2.3381347,0.89108033,219
KCG80,KCG80,80,2022-09-05,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5088518,gasp,05-Sep-22,2022-09-05,fall2022,fall,cloacal swab tip,managed,saketorp,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.22588,65.67573,KCG80,44,2.046238,0.78820554,248
KCG81,KCG81,81,2022-08-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142147,pwma,25-Aug-22,2022-08-25,fall2022,fall,cloacal swab tip,managed,knott,2020,breeder,adult,adult,NA,Perisoreus infaustus,19.23334,65.68531,KCG81,12,2.2597654,0.87268698,237
KCG82,KCG82,82,2022-08-25,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5088513,gags,25-Aug-22,2022-08-25,fall2022,fall,cloacal swab tip,managed,knott,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.23334,65.68531,KCG82,185,2.7853529,0.84482406,237
KCG83,KCG83,83,2022-08-13,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142893,gam#,13-Aug-22,2022-08-13,fall2022,fall,cloacal swab tip,reivo,baggins,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08926,65.78958,KCG83,66,0.8940099,0.31548171,225
KCG84,KCG84,84,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142879,gawb,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,managed,flarkmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16553,65.64811,KCG84,120,1.7719388,0.60154968,234
KCG85,KCG85,85,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5142899,gaws,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,managed,akkatop,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.19755,65.65517,KCG85,57,1.9196361,0.66470443,236
KCG86,KCG86,86,2022-08-31,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,LR492,manual,5088514,gamo,31-Aug-22,2022-08-31,fall2022,fall,cloacal swab tip,managed,nylidsberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08872,65.69736,KCG86,40,2.0819912,0.75910887,243
